NAME                                                VERSION           TYPE                  
1to2                                                1.0.0             npm                    
@algolia/cache-browser-local-storage                4.5.1             npm                    
@algolia/cache-common                               4.5.1             npm                    
@algolia/cache-in-memory                            4.5.1             npm                    
@algolia/client-account                             4.5.1             npm                    
@algolia/client-analytics                           4.5.1             npm                    
@algolia/client-common                              4.5.1             npm                    
@algolia/client-recommendation                      4.5.1             npm                    
@algolia/client-search                              4.5.1             npm                    
@algolia/logger-common                              4.5.1             npm                    
@algolia/logger-console                             4.5.1             npm                    
@algolia/requester-browser-xhr                      4.5.1             npm                    
@algolia/requester-common                           4.5.1             npm                    
@algolia/requester-node-http                        4.5.1             npm                    
@algolia/transporter                                4.5.1             npm                    
@ampproject/remapping                               2.3.0             npm                    
@apollo/client                                      3.12.8            npm                    
@apollo/client/cache                                UNKNOWN           npm                    
@apollo/client/core                                 UNKNOWN           npm                    
@apollo/client/dev                                  UNKNOWN           npm                    
@apollo/client/errors                               UNKNOWN           npm                    
@apollo/client/link/batch                           UNKNOWN           npm                    
@apollo/client/link/batch-http                      UNKNOWN           npm                    
@apollo/client/link/context                         UNKNOWN           npm                    
@apollo/client/link/core                            UNKNOWN           npm                    
@apollo/client/link/error                           UNKNOWN           npm                    
@apollo/client/link/http                            UNKNOWN           npm                    
@apollo/client/link/persisted-queries               UNKNOWN           npm                    
@apollo/client/link/remove-typename                 UNKNOWN           npm                    
@apollo/client/link/retry                           UNKNOWN           npm                    
@apollo/client/link/schema                          UNKNOWN           npm                    
@apollo/client/link/subscriptions                   UNKNOWN           npm                    
@apollo/client/link/utils                           UNKNOWN           npm                    
@apollo/client/link/ws                              UNKNOWN           npm                    
@apollo/client/masking                              UNKNOWN           npm                    
@apollo/client/react                                UNKNOWN           npm                    
@apollo/client/react/components                     UNKNOWN           npm                    
@apollo/client/react/context                        UNKNOWN           npm                    
@apollo/client/react/hoc                            UNKNOWN           npm                    
@apollo/client/react/hooks                          UNKNOWN           npm                    
@apollo/client/react/internal                       UNKNOWN           npm                    
@apollo/client/react/parser                         UNKNOWN           npm                    
@apollo/client/react/ssr                            UNKNOWN           npm                    
@apollo/client/testing                              UNKNOWN           npm                    
@apollo/client/testing/core                         UNKNOWN           npm                    
@apollo/client/testing/experimental                 UNKNOWN           npm                    
@apollo/client/utilities                            UNKNOWN           npm                    
@apollo/client/utilities/globals                    UNKNOWN           npm                    
@apollo/client/utilities/subscriptions/relay        UNKNOWN           npm                    
@apollo/client/utilities/subscriptions/urql         UNKNOWN           npm                    
@apollo/protobufjs                                  1.2.2             npm                    
@apollographql/apollo-tools                         0.5.4             npm                    
@apollographql/graphql-playground-html              1.6.27            npm                    
@apollographql/graphql-upload-8-fork                8.1.4             npm                    
@ardatan/aggregate-error                            0.0.6             npm                    
@ardatan/relay-compiler                             12.0.0            npm                    
@asciidoctor/cli                                    3.5.0             npm                    
@asciidoctor/core                                   2.2.6             npm                    
@azure/abort-controller                             1.1.0             npm   (+1 duplicate)   
@azure/abort-controller                             2.1.2             npm                    
@azure/core-auth                                    1.9.0             npm                    
@azure/core-http                                    2.3.2             npm                    
@azure/core-lro                                     2.7.2             npm                    
@azure/core-paging                                  1.6.2             npm                    
@azure/core-tracing                                 1.0.0-preview.13  npm                    
@azure/core-util                                    1.11.0            npm                    
@azure/logger                                       1.1.4             npm                    
@azure/ms-rest-azure-env                            2.0.0             npm                    
@azure/ms-rest-js                                   2.7.0             npm                    
@azure/ms-rest-nodeauth                             3.1.1             npm                    
@azure/storage-blob                                 12.12.0           npm                    
@babel/code-frame                                   7.26.2            npm                    
@babel/compat-data                                  7.26.5            npm                    
@babel/core                                         7.26.7            npm                    
@babel/generator                                    7.26.5            npm                    
@babel/helper-annotate-as-pure                      7.25.9            npm                    
@babel/helper-compilation-targets                   7.26.5            npm                    
@babel/helper-create-class-features-plugin          7.25.9            npm                    
@babel/helper-function-name                         7.24.7            npm                    
@babel/helper-member-expression-to-functions        7.25.9            npm                    
@babel/helper-module-imports                        7.25.9            npm                    
@babel/helper-module-transforms                     7.26.0            npm                    
@babel/helper-optimise-call-expression              7.25.9            npm                    
@babel/helper-plugin-utils                          7.26.5            npm                    
@babel/helper-replace-supers                        7.26.5            npm                    
@babel/helper-skip-transparent-expression-wrappers  7.25.9            npm                    
@babel/helper-split-export-declaration              7.24.7            npm                    
@babel/helper-string-parser                         7.25.9            npm                    
@babel/helper-validator-identifier                  7.25.9            npm                    
@babel/helper-validator-option                      7.25.9            npm                    
@babel/helpers                                      7.26.7            npm                    
@babel/parser                                       7.12.16           npm                    
@babel/parser                                       7.26.7            npm   (+1 duplicate)   
@babel/plugin-proposal-class-properties             7.18.6            npm                    
@babel/plugin-proposal-object-rest-spread           7.20.7            npm                    
@babel/plugin-syntax-class-properties               7.12.13           npm                    
@babel/plugin-syntax-flow                           7.26.0            npm                    
@babel/plugin-syntax-jsx                            7.25.9            npm                    
@babel/plugin-syntax-object-rest-spread             7.8.3             npm                    
@babel/plugin-transform-arrow-functions             7.25.9            npm                    
@babel/plugin-transform-block-scoped-functions      7.26.5            npm                    
@babel/plugin-transform-block-scoping               7.25.9            npm                    
@babel/plugin-transform-classes                     7.25.9            npm                    
@babel/plugin-transform-computed-properties         7.25.9            npm                    
@babel/plugin-transform-destructuring               7.25.9            npm                    
@babel/plugin-transform-flow-strip-types            7.26.5            npm                    
@babel/plugin-transform-for-of                      7.25.9            npm                    
@babel/plugin-transform-function-name               7.25.9            npm                    
@babel/plugin-transform-literals                    7.25.9            npm                    
@babel/plugin-transform-member-expression-literals  7.25.9            npm                    
@babel/plugin-transform-modules-commonjs            7.26.3            npm                    
@babel/plugin-transform-object-super                7.25.9            npm                    
@babel/plugin-transform-parameters                  7.25.9            npm                    
@babel/plugin-transform-property-literals           7.25.9            npm                    
@babel/plugin-transform-react-display-name          7.25.9            npm                    
@babel/plugin-transform-react-jsx                   7.25.9            npm                    
@babel/plugin-transform-shorthand-properties        7.25.9            npm                    
@babel/plugin-transform-spread                      7.25.9            npm                    
@babel/plugin-transform-template-literals           7.25.9            npm                    
@babel/runtime                                      7.26.7            npm                    
@babel/template                                     7.25.9            npm                    
@babel/traverse                                     7.12.13           npm                    
@babel/traverse                                     7.26.7            npm                    
@babel/types                                        7.12.13           npm                    
@babel/types                                        7.26.7            npm   (+1 duplicate)   
@colors/colors                                      1.5.0             npm                    
@colors/colors                                      1.6.0             npm                    
@dabh/diagnostics                                   2.0.3             npm                    
@elastic/elasticsearch                              6.8.8             npm                    
@elastic/elasticsearch                              7.17.14           npm                    
@elastic/elasticsearch                              8.17.0            npm                    
@elastic/transport                                  8.9.4             npm                    
@exlinc/keycloak-passport                           1.0.2             npm                    
@gar/promisify                                      1.1.3             npm                    
@graphql-tools/batch-delegate                       7.0.2             npm                    
@graphql-tools/batch-delegate/es5                   7.0.2             npm                    
@graphql-tools/batch-execute                        7.1.2             npm                    
@graphql-tools/batch-execute/es5                    7.1.2             npm                    
@graphql-tools/code-file-loader                     6.3.1             npm                    
@graphql-tools/code-file-loader/es5                 6.3.1             npm                    
@graphql-tools/delegate                             7.1.5             npm                    
@graphql-tools/delegate/es5                         7.1.5             npm                    
@graphql-tools/git-loader                           6.2.6             npm                    
@graphql-tools/git-loader/es5                       6.2.6             npm                    
@graphql-tools/github-loader                        6.2.5             npm                    
@graphql-tools/github-loader/es5                    6.2.5             npm                    
@graphql-tools/graphql-file-loader                  6.2.7             npm                    
@graphql-tools/graphql-file-loader/es5              6.2.7             npm                    
@graphql-tools/graphql-tag-pluck                    6.5.1             npm                    
@graphql-tools/graphql-tag-pluck/es5                6.5.1             npm                    
@graphql-tools/import                               6.7.18            npm                    
@graphql-tools/json-file-loader                     6.2.6             npm                    
@graphql-tools/json-file-loader/es5                 6.2.6             npm                    
@graphql-tools/links                                6.2.5             npm                    
@graphql-tools/links/es5                            6.2.5             npm                    
@graphql-tools/load                                 6.2.8             npm                    
@graphql-tools/load-files                           6.6.1             npm                    
@graphql-tools/load/es5                             6.2.8             npm                    
@graphql-tools/merge                                6.2.17            npm                    
@graphql-tools/merge                                8.3.1             npm                    
@graphql-tools/merge/es5                            6.2.17            npm                    
@graphql-tools/mock                                 7.0.0             npm                    
@graphql-tools/mock/es5                             7.0.0             npm                    
@graphql-tools/module-loader                        6.2.7             npm                    
@graphql-tools/module-loader/es5                    6.2.7             npm                    
@graphql-tools/relay-operation-optimizer            6.5.18            npm                    
@graphql-tools/resolvers-composition                6.5.18            npm                    
@graphql-tools/schema                               7.1.5             npm                    
@graphql-tools/schema                               8.5.1             npm                    
@graphql-tools/schema/es5                           7.1.5             npm                    
@graphql-tools/stitch                               7.5.3             npm                    
@graphql-tools/stitch/es5                           7.5.3             npm                    
@graphql-tools/url-loader                           6.10.1            npm                    
@graphql-tools/url-loader/es5                       6.10.1            npm                    
@graphql-tools/utils                                7.10.0            npm                    
@graphql-tools/utils                                8.0.2             npm                    
@graphql-tools/utils                                8.9.0             npm   (+1 duplicate)   
@graphql-tools/utils                                9.2.1             npm   (+2 duplicates)  
@graphql-tools/utils/es5                            7.10.0            npm                    
@graphql-tools/utils/es5                            8.0.2             npm                    
@graphql-tools/wrap                                 7.0.8             npm                    
@graphql-tools/wrap/es5                             7.0.8             npm                    
@graphql-typed-document-node/core                   3.2.0             npm                    
@heroku/socksv5                                     0.0.9             npm                    
@isaacs/cliui                                       8.0.2             npm                    
@isaacs/fs-minipass                                 4.0.1             npm                    
@isaacs/string-locale-compare                       1.1.0             npm                    
@joplin/turndown-plugin-gfm                         1.0.45            npm                    
@josephg/resolvable                                 1.0.1             npm                    
@jridgewell/gen-mapping                             0.3.8             npm                    
@jridgewell/resolve-uri                             3.1.2             npm                    
@jridgewell/set-array                               1.2.1             npm                    
@jridgewell/sourcemap-codec                         1.5.0             npm                    
@jridgewell/trace-mapping                           0.3.25            npm                    
@kwsites/file-exists                                1.1.1             npm                    
@kwsites/promise-deferred                           1.1.1             npm                    
@log4js-node/log4js-api                             1.0.2             npm                    
@mapbox/node-pre-gyp                                1.0.11            npm                    
@microsoft/fetch-event-source                       2.0.1             npm                    
@my-scope/package-a                                 0.0.0             npm                    
@my-scope/package-b                                 0.0.0             npm                    
@nodelib/fs.scandir                                 2.1.5             npm                    
@nodelib/fs.stat                                    2.0.5             npm                    
